Case Number,Address,ZIP Code,Case Opened,Kiva PIN,Status of Case,Latitude,Longitude,Location
1231596,3012 Brooklyn Ave,64109,11/12/2019,26710,Demolition By Owner In Progress,39.071322,-94.557751,"3012 Brooklyn Ave
Kansas City, MO 64109
(39.071322, -94.557751)"
1237605,5551 Wabash Ave,64130,04/09/2020,147646,Ongoing Case,39.024863,-94.556119,"5551 Wabash Ave
Kansas City, MO 64130
(39.024863, -94.556119)"
1241497,3409 Bales Ave,64128,06/25/2020,26207,Ongoing Case,39.0637,-94.542492,"3409 Bales Ave
Kansas City, MO 64128
(39.0637, -94.542492)"
1237008,7304 E 108th St,64134,03/20/2020,59157,Pre-Bid Process Ongoing,38.928301,-94.504552,"7304 E 108th St
Kansas City, MO 64134
(38.928301, -94.504552)"
1239106,501 Knickerbocker Pl,64111,05/21/2020,129736,Demolition By Owner In Progress,39.062553,-94.591971,"501 Knickerbocker Pl
Kansas City, MO 64111
(39.062553, -94.591971)"
1210826,1100 Agnes Ave,64127,11/30/2018,10746,Demolition By Owner In Progress,39.100392,-94.547325,"1100 Agnes Ave
Kansas City, MO 64127
(39.100392, -94.547325)"
1238270,718 Grand Ave,64106,04/30/2020,12734,Ongoing Case,39.104913,-94.581056,"718 Grand Ave
Kansas City, MO 64106
(39.104913, -94.581056)"
1234651,2823 Wabash Ave,64128,02/04/2020,26443,Pre-Bid Process Ongoing,39.074476,-94.553458,"2823 Wabash Ave
Kansas City, MO 64128
(39.074476, -94.553458)"
1240809,5617 E 40th St,64130,06/15/2020,31994,Ongoing Case,39.051445,-94.51849,"5617 E 40th St
Kansas City, MO 64130
(39.051445, -94.51849)"
1227632,2801 Oakley Ave,64128,09/03/2019,21572,Notice to Proceed Issued (Demolition),39.074428,-94.517807,"2801 Oakley Ave
Kansas City, MO 64128
(39.074428, -94.517807)"
1246409,1804 Elmwood Ave,64127,09/21/2020,18506,Ongoing Case,39.089735,-94.529389,"1804 Elmwood Ave
Kansas City, MO 64127
(39.089735, -94.529389)"
1233794,7206 E 85th Ter,64138,01/10/2020,55324,Pre-Bid Process Ongoing,38.970187,-94.50371,"7206 E 85th Ter
Kansas City, MO 64138
(38.970187, -94.50371)"
1234652,5905 Wabash Ave,64130,02/04/2020,104444,Rehab By Owner In Progress,39.019075,-94.556599,"5905 Wabash Ave
Kansas City, MO 64130
(39.019075, -94.556599)"
1236501,4833 Brooklyn Ave,64130,03/10/2020,138497,Rehab By Owner In Progress,39.037804,-94.558831,"4833 Brooklyn Ave
Kansas City, MO 64130
(39.037804, -94.558831)"
1237206,5819 Jackson Ave,64130,03/26/2020,38061,Pre-Bid Process Ongoing,39.019598,-94.53674,"5819 Jackson Ave
Kansas City, MO 64130
(39.019598, -94.53674)"
1236421,7305 E 111th Ter,64134,03/09/2020,59543,Repair Case w/Enforcement,38.922414,-94.504839,"7305 E 111th Ter
Kansas City, MO 64134
(38.922414, -94.504839)"
1245503,4236 E 58th St,64130,09/01/2020,38053,Notice to Proceed Issued (Demolition),39.020671,-94.535109,"4236 E 58th St
Kansas City, MO 64130
(39.020671, -94.535109)"
1245888,4710 Byrams Ford Rd,64129,09/09/2020,50060,Ongoing Case,39.036688,-94.479575,"4710 Byrams Ford Rd
Kansas City, MO 64129
(39.036688, -94.479575)"
1213550,4212 Virginia Ave,64110,02/12/2019,135804,Notice to Proceed Issued (Demolition),39.050016,-94.569238,"4212 Virginia Ave
Kansas City, MO 64110
(39.050016, -94.569238)"
1169532,5630 Brooklyn Ave,64130,11/09/2016,147856,Notice to Proceed Issued (Asbestos Removal),39.02324,-94.560391,"5630 Brooklyn Ave
Kansas City, MO 64130
(39.02324, -94.560391)"
1216398,534 Denver Ave,64124,04/10/2019,45062,Pre-Bid Process Ongoing,39.105882,-94.521737,"534 Denver Ave
Kansas City, MO 64124
(39.105882, -94.521737)"
1246112,3039 Norton Ave,64128,09/15/2020,24170,Ongoing Case,39.069769,-94.535275,"3039 Norton Ave
Kansas City, MO 64128
(39.069769, -94.535275)"
1228766,4114 E 11th St,64127,09/18/2019,10171,Notice to Proceed Issued (Demolition),39.099711,-94.533811,"4114 E 11th St
Kansas City, MO 64127
(39.099711, -94.533811)"
1202801,6410 E 58th St,64129,07/12/2018,54605,Notice to Proceed Issued (Demolition),39.019635,-94.510851,"6410 E 58th St
Kansas City, MO 64129
(39.019635, -94.510851)"
1232176,4126 College Ave,64130,11/26/2019,30324,Pre-Bid Process Ongoing,39.050596,-94.546074,"4126 College Ave
Kansas City, MO 64130
(39.050596, -94.546074)"
1230574,2345 Drury Ave,64127,10/21/2019,20003,Notice to Proceed Issued (Demolition),39.081592,-94.518499,"2345 Drury Ave
Kansas City, MO 64127
(39.081592, -94.518499)"
1106214,2912 PASEO,64109,02/07/2014,27331,Rehab By Owner In Progress,39.073375,-94.56731,"2912 PASEO
Kansas City, MO 64109
(39.073375, -94.56731)"
1226865,2733 Olive St,64109,08/22/2019,26618,Rehab By Owner In Progress,39.075868,-94.554515,"2733 Olive St
Kansas City, MO 64109
(39.075868, -94.554515)"
1222690,3211 Montgall Ave,64128,07/01/2019,25225,Notice to Proceed Issued (Demolition),39.06744,-94.551474,"3211 Montgall Ave
Kansas City, MO 64128
(39.06744, -94.551474)"
1208935,6031 Swope Parkway,64130,10/11/2018,497,Pre-Bid Process Ongoing,39.015909,-94.541521,"6031 Swope Parkway
Kansas City, MO 64130
(39.015909, -94.541521)"
1225702,3023 Spruce Ave,64128,08/08/2019,22504,Pre-Bid Process Ongoing,39.070144,-94.532872,"3023 Spruce Ave
Kansas City, MO 64128
(39.070144, -94.532872)"
1193167,2614 E 8th St,64124,02/27/2018,10597,Rehab By Owner In Progress,39.103769,-94.550316,"2614 E 8th St
Kansas City, MO 64124
(39.103769, -94.550316)"
1047903,1311 MANHEIM RD,64109,07/31/2014,134916,On Hold,39.056207,-94.569402,"1311 MANHEIM RD
Kansas City, MO 64109
(39.056207, -94.569402)"
1229923,4501 E 60th St,64130,10/07/2019,356,Pre-Bid Process Ongoing,39.016497,-94.534613,"4501 E 60th St
Kansas City, MO 64130
(39.016497, -94.534613)"
1180126,611 Cypress Ave,64124,06/16/2017,8043,Ongoing Case,39.104947,-94.5289,"611 Cypress Ave
Kansas City, MO 64124
(39.104947, -94.5289)"
1245060,2604 Spruce Ave,64127,08/25/2020,19693,Ongoing Case,39.078079,-94.533263,"2604 Spruce Ave
Kansas City, MO 64127
(39.078079, -94.533263)"
1232507,11719 Troost Ave,64131,12/04/2019,157880,Rehab By Owner In Progress,38.913613,-94.57918,"11719 Troost Ave
Kansas City, MO 64131
(38.913613, -94.57918)"
1223641,2510 Brighton Ave,64127,07/15/2019,19983,Rehab By Owner In Progress,39.07921,-94.525036,"2510 Brighton Ave
Kansas City, MO 64127
(39.07921, -94.525036)"
